date,humidity_austria
2018-01-31,93.50647469216906
2018-02-28,92.64833188402459
2018-03-31,87.61599924087835
2018-04-30,76.45838485355164
2018-05-31,79.63115045904536
2018-06-30,77.26476677822241
2018-07-31,71.41846705555784
2018-08-31,69.62003563415104
2018-09-30,76.45423538312888
2018-10-31,81.28556256783091
2018-11-30,88.86238663240123
2018-12-31,93.10029807411814
2019-01-31,94.13919307829174
2019-02-28,81.23580404663028
2019-03-31,79.8910536975433
2019-04-30,76.33951879855333
2019-05-31,80.0003216413496
2019-06-30,71.62425866705647
2019-07-31,70.69159919901244
2019-08-31,74.89665838610532
2019-09-30,77.66774751940402
2019-10-31,82.2189310914449
2019-11-30,92.4548706778205
2019-12-31,89.37335470054228
2020-01-31,87.26814753857242
2020-02-29,85.36681321577441
2020-03-31,79.55736483561157
2020-04-30,69.0636780131358
2020-05-31,74.85186730422728
2020-06-30,80.52290318469507
2020-07-31,76.28012236818954
2020-08-31,78.6676639294577
2020-09-30,81.26211277703047
2020-10-31,88.59930134010567
2020-11-30,86.05310421400726
2020-12-31,93.84033787208939
2021-01-31,94.23361835863302
2021-02-28,85.89385139630457
2021-03-31,81.39413797011086
2021-04-30,79.05364971547642
2021-05-31,79.7832666634719
2021-06-30,74.03451258098751
2021-07-31,76.23812620919263
2021-08-31,80.27176145008141
2021-09-30,76.50960748713962
2021-10-31,81.15109145605854
2021-11-30,89.60286913687976
2021-12-31,93.05277608607761
2022-01-31,89.00953131859319
2022-02-28,85.82446165091649
2022-03-31,71.7463408236677
2022-04-30,76.93934717153671
2022-05-31,74.86458874953395
2022-06-30,74.61638563537075
2022-07-31,69.18561749190573
2022-08-31,73.2155945761902
2022-09-30,82.01328317751558
2022-10-31,84.31024751225918
2022-11-30,89.66030011357412
2022-12-31,93.26886503527027
2023-01-31,91.75149575253464
2023-02-28,86.37189197609494
2023-03-31,82.550761005369
2023-04-30,82.33394203943864
2023-05-31,81.01597966765071
2023-06-30,76.25567621158869
2023-07-31,73.38311081407483
2023-08-31,77.46173816615382
2023-09-30,76.08818048175154
2023-10-31,77.90593819843555
2023-11-30,90.63943112969507
2023-12-31,90.13659139511088
2024-01-31,88.57582427137386
2024-02-29,88.9686987901975
2024-03-31,83.76307750268361
2024-04-30,78.08314763777027
2024-05-31,79.1880230460187
2024-06-30,80.14639036579867
2024-07-31,75.9053824996864
2024-08-31,73.46388266823975
2024-09-30,80.58995612311675
2024-10-31,88.50134740944559
2024-11-30,85.63834885118851
2024-12-31,87.30501168441788
2025-01-31,89.54435245428274
2025-02-28,84.97027617813065
2025-03-31,80.31237819127337
2025-04-30,77.38840238732328
2025-05-31,75.45772933411641
2025-06-30,70.94807193663374
2025-07-31,76.60037322293658
2025-08-31,71.83556219961882
2025-09-30,79.99733245904018
2025-10-31,84.75933065749304
2025-11-30,86.57164956247576
2025-12-31,90.14997003109667
