date;humidity_paraguay
1/31/2018;74.0550479
2/28/2018;72.935315
3/31/2018;77.32500595
4/30/2018;66.8462626
5/31/2018;68.76529348
6/30/2018;71.35155073
7/31/2018;62.41628073
8/31/2018;59.44956014
9/30/2018;62.03259218
10/31/2018;71.45142732
11/30/2018;76.87343938
12/31/2018;67.00260548
1/31/2019;59.97110443
2/28/2019;61.46163575
3/31/2019;74.75826018
4/30/2019;80.3503893
5/31/2019;83.73463343
6/30/2019;74.86295989
7/31/2019;71.55549177
8/31/2019;58.43630584
9/30/2019;50.36807849
10/31/2019;52.05547374
11/30/2019;55.41246335
12/31/2019;66.87481976
1/31/2020;63.63341043
2/29/2020;62.22308194
3/31/2020;50.77577295
4/30/2020;54.71605321
5/31/2020;60.08599384
6/30/2020;67.02154739
7/31/2020;60.4786775
8/31/2020;54.43748783
9/30/2020;52.42493128
10/31/2020;48.18379439
11/30/2020;53.03140904
12/31/2020;60.74185305
1/31/2021;73.1609177
2/28/2021;66.16288069
3/31/2021;64.23279521
4/30/2021;65.15661614
5/31/2021;63.14394559
6/30/2021;67.02358422
7/31/2021;50.15319278
8/31/2021;49.67008961
9/30/2021;46.26288443
10/31/2021;62.16425691
11/30/2021;64.21859815
12/31/2021;50.75451826
1/31/2022;52.03409707
2/28/2022;53.97775669
3/31/2022;62.65074751
4/30/2022;68.02594318
5/31/2022;69.39240242
6/30/2022;72.40793247
7/31/2022;56.20929793
8/31/2022;58.5131994
9/30/2022;58.68177121
10/31/2022;69.07705979
11/30/2022;61.27624906
12/31/2022;56.3952816
1/31/2023;62.76426597
2/28/2023;70.15717699
3/31/2023;79.10806424
4/30/2023;78.5022632
5/31/2023;76.34310974
6/30/2023;71.87067092
7/31/2023;62.60513322
8/31/2023;52.64723208
9/30/2023;52.21951292
10/31/2023;54.02650328
11/30/2023;58.19267952
12/31/2023;63.79548335
1/31/2024;61.45943856
2/29/2024;63.2664029
3/31/2024;59.28122635
4/30/2024;71.55864237
5/31/2024;69.34180197
6/30/2024;58.05794848
7/31/2024;61.06671376
8/31/2024;52.31204743
9/30/2024;51.16893674
10/31/2024;56.29602965
11/30/2024;60.98710565
12/31/2024;64.34399383
1/31/2025;50.71183845
2/28/2025;58.48740431
3/31/2025;68.41757601
4/30/2025;79.64172335
5/31/2025;76.60918037
6/30/2025;80.63874226
7/31/2025;70.61964541
8/31/2025;65.46116908
9/30/2025;58.881567
10/31/2025;59.54605808
11/30/2025;62.5568586
12/31/2025;67.21624346
