date,precip_kazakhstan
2018-01-31,10.561826679137251
2018-02-28,16.13132459458648
2018-03-31,41.33559355468131
2018-04-30,25.521101820120514
2018-05-31,26.98380899310769
2018-06-30,22.17459620002549
2018-07-31,22.71135061052174
2018-08-31,26.67039466714913
2018-09-30,14.778435085536783
2018-10-31,25.328006721736596
2018-11-30,27.994557283608472
2018-12-31,16.063717168590383
2019-01-31,15.429386200361286
2019-02-28,18.634559830097245
2019-03-31,22.935899736679318
2019-04-30,31.550578822779183
2019-05-31,19.01499169503203
2019-06-30,27.513128774965427
2019-07-31,19.307963064712105
2019-08-31,15.623769285368569
2019-09-30,22.21782257070922
2019-10-31,18.527337674013626
2019-11-30,18.748192297786307
2019-12-31,25.264026305196374
2020-01-31,23.555747218211646
2020-02-29,25.37388222796378
2020-03-31,8.485281669300203
2020-04-30,29.124932994108736
2020-05-31,25.296365575674916
2020-06-30,19.13791914710619
2020-07-31,25.287245508911163
2020-08-31,20.07397626395168
2020-09-30,15.338439676530713
2020-10-31,13.33120498848779
2020-11-30,18.849175367470266
2020-12-31,9.261475738706979
2021-01-31,21.997461033802566
2021-02-28,30.33395790475661
2021-03-31,40.41546459536592
2021-04-30,17.690164206793522
2021-05-31,13.34978836122872
2021-06-30,18.580943052061865
2021-07-31,22.72303969496671
2021-08-31,12.04744342011119
2021-09-30,13.636049506163479
2021-10-31,15.650021461221348
2021-11-30,26.972591926832965
2021-12-31,20.959467507780005
2022-01-31,22.170180208256447
2022-02-28,14.65829556956555
2022-03-31,37.78134468793147
2022-04-30,16.541930212604402
2022-05-31,31.89542113954904
2022-06-30,17.36477336521158
2022-07-31,24.423069237110685
2022-08-31,11.2427916284931
2022-09-30,9.800093026094846
2022-10-31,21.3113181104172
2022-11-30,39.85052592012868
2022-12-31,13.399346845402448
2023-01-31,20.598975615727923
2023-02-28,22.685665426082025
2023-03-31,22.259909532346143
2023-04-30,24.41853208141241
2023-05-31,22.112622313018125
2023-06-30,20.362809174791437
2023-07-31,17.97590549852531
2023-08-31,30.465421669815612
2023-09-30,34.0570551693452
2023-10-31,41.6167517847385
2023-11-30,30.17489707847911
2023-12-31,35.79968636670405
2024-01-31,28.6639219828955
2024-02-29,23.066978837502997
2024-03-31,27.090916200198905
2024-04-30,20.883676834858093
2024-05-31,46.30397366329922
2024-06-30,36.35095060866105
2024-07-31,44.59410349451509
2024-08-31,25.536613720412294
2024-09-30,11.60857903991322
2024-10-31,32.56203996462384
2024-11-30,31.660317467355554
2024-12-31,18.36772321997732
2025-01-31,20.20556823246003
2025-02-28,15.067290946011274
2025-03-31,24.38802820157056
2025-04-30,24.63694601174734
2025-05-31,26.994803288502002
2025-06-30,31.08833117365699
2025-07-31,19.309712215669762
2025-08-31,31.289247120904943
2025-09-30,23.015628719574497
2025-10-31,13.081668993624703
2025-11-30,21.27221219161458
2025-12-31,29.592938798147795
