date,humidity_poland
2018-01-31,93.90501603863835
2018-02-28,89.80928677902035
2018-03-31,86.18755389318412
2018-04-30,79.3610686318712
2018-05-31,73.5446424604703
2018-06-30,68.7588872306293
2018-07-31,71.04631164932124
2018-08-31,64.96026318467015
2018-09-30,68.03034159760126
2018-10-31,76.8626679630169
2018-11-30,88.68778310146344
2018-12-31,94.30145464938013
2019-01-31,92.38511101649839
2019-02-28,88.96561662954542
2019-03-31,81.75812973953687
2019-04-30,71.07023836741661
2019-05-31,75.73641263215222
2019-06-30,66.26794243269393
2019-07-31,62.96817135169927
2019-08-31,63.10621558593241
2019-09-30,70.82911008129673
2019-10-31,81.79686641156582
2019-11-30,91.14496838226628
2019-12-31,92.47158053342815
2020-01-31,92.2267758525661
2020-02-29,86.95574919823714
2020-03-31,77.7022094273583
2020-04-30,66.55265826772641
2020-05-31,71.73651267589626
2020-06-30,78.12888870335516
2020-07-31,69.8986780601818
2020-08-31,66.6989255294002
2020-09-30,73.98925647222035
2020-10-31,87.56293894117651
2020-11-30,92.49730975043401
2020-12-31,94.23477952466563
2021-01-31,95.80310430395535
2021-02-28,94.38878516120907
2021-03-31,84.50179295940606
2021-04-30,79.46019926894479
2021-05-31,78.15687146198118
2021-06-30,71.3128480600324
2021-07-31,74.01203428689183
2021-08-31,75.51055426792585
2021-09-30,77.22633379278648
2021-10-31,79.64060626748912
2021-11-30,91.79400530053283
2021-12-31,93.89534976071494
2022-01-31,91.8410813753372
2022-02-28,87.71929723580996
2022-03-31,75.07108076761452
2022-04-30,76.63459593598196
2022-05-31,69.26030219583454
2022-06-30,67.36345645549731
2022-07-31,64.67416578405161
2022-08-31,68.47859066480507
2022-09-30,74.79026912477838
2022-10-31,84.36219094422721
2022-11-30,91.34447270366972
2022-12-31,95.18212637572904
2023-01-31,93.65574874883242
2023-02-28,89.96900427520272
2023-03-31,84.25816009815635
2023-04-30,80.14114669035663
2023-05-31,72.47326512287724
2023-06-30,69.55715799067917
2023-07-31,64.84617232494354
2023-08-31,72.02823291071864
2023-09-30,70.03190148529451
2023-10-31,82.06835541426827
2023-11-30,90.1099960075813
2023-12-31,94.35393241704189
2024-01-31,92.67903396652278
2024-02-29,92.3005174632198
2024-03-31,86.65128308877271
2024-04-30,80.16678998398253
2024-05-31,73.09174693819295
2024-06-30,74.43854754132965
2024-07-31,69.36914816306681
2024-08-31,66.80902872306771
2024-09-30,67.65682783032166
2024-10-31,82.15395394448713
2024-11-30,89.3355849652989
2024-12-31,93.11758540826986
2025-01-31,92.67597916576862
2025-02-28,86.75349854951274
2025-03-31,78.27555765136213
2025-04-30,72.47460412614974
2025-05-31,69.37762554763871
2025-06-30,66.74153995963125
2025-07-31,68.43530556263042
2025-08-31,63.2713764177917
2025-09-30,72.59441302011113
2025-10-31,82.92532616306414
2025-11-30,92.32194906040357
2025-12-31,93.70735124031413
