date,precip_ukraine
2018-01-31,44.475300668350016
2018-02-28,45.312486912463136
2018-03-31,76.99966250616461
2018-04-30,22.420516554597786
2018-05-31,36.37862320624309
2018-06-30,85.70082835396381
2018-07-31,88.19711037396965
2018-08-31,16.415026914594872
2018-09-30,52.63294891050125
2018-10-31,26.54927286433226
2018-11-30,30.643146816428203
2018-12-31,68.19309228184459
2019-01-31,57.033362718316994
2019-02-28,17.929868479361836
2019-03-31,28.50183352930925
2019-04-30,47.4559049063822
2019-05-31,92.9914890429651
2019-06-30,50.67493362038448
2019-07-31,53.437687696787876
2019-08-31,38.89089374517634
2019-09-30,29.378311364831728
2019-10-31,27.730603635231024
2019-11-30,34.86722683611822
2019-12-31,36.48420878369894
2020-01-31,24.076302917207
2020-02-29,59.90739644177926
2020-03-31,24.95443936122923
2020-04-30,19.01532617858304
2020-05-31,106.84231855531186
2020-06-30,83.46986924250342
2020-07-31,62.28022974822285
2020-08-31,25.12966385266075
2020-09-30,41.64232459869464
2020-10-31,55.676046336240006
2020-11-30,28.198842259408053
2020-12-31,40.96501840676411
2021-01-31,63.424686878682934
2021-02-28,55.739045853377995
2021-03-31,41.02429948072515
2021-04-30,48.20721407041182
2021-05-31,93.617222514161
2021-06-30,92.26215919492489
2021-07-31,65.55795662719792
2021-08-31,65.707634560135
2021-09-30,43.5014876816088
2021-10-31,10.332460824376083
2021-11-30,36.08059315738295
2021-12-31,69.59195603021398
2022-01-31,43.64235247223885
2022-02-28,26.227496754135316
2022-03-31,20.254446522778284
2022-04-30,69.79365072595918
2022-05-31,41.68306504344001
2022-06-30,45.7460324870265
2022-07-31,53.47811282312416
2022-08-31,59.039695429921025
2022-09-30,99.14294792863697
2022-10-31,54.31999614066117
2022-11-30,60.95046206244294
2022-12-31,65.10328136595281
2023-01-31,28.342839057784076
2023-02-28,39.14804375090554
2023-03-31,49.6333317866912
2023-04-30,88.07712688174757
2023-05-31,37.01032214527228
2023-06-30,75.4856290018069
2023-07-31,87.18483437068588
2023-08-31,42.339015225498784
2023-09-30,19.61541118327438
2023-10-31,64.98559892172376
2023-11-30,95.85426591117778
2023-12-31,63.263173963969884
2024-01-31,62.046711402372836
2024-02-29,45.826341926911226
2024-03-31,44.16088475949557
2024-04-30,53.19093233436041
2024-05-31,28.95787666458299
2024-06-30,76.11465580159866
2024-07-31,44.37387589813574
2024-08-31,28.079738160024473
2024-09-30,38.330827779025
2024-10-31,50.453413934436846
2024-11-30,41.500750521868966
2024-12-31,40.746789537729896
2025-01-31,22.10331580780881
2025-02-28,16.545649009496266
2025-03-31,38.37696962295897
2025-04-30,33.34602810973505
2025-05-31,84.62471095377305
2025-06-30,41.429557610955406
2025-07-31,77.5247979830993
2025-08-31,33.02698980624041
2025-09-30,41.10511299018818
2025-10-31,68.8080505012058
2025-11-30,47.460697780960075
2025-12-31,30.546486889036085
