date,humidity_taiwan
2018-01-31,87.02336886235243
2018-02-28,85.44088869465848
2018-03-31,79.42073712579798
2018-04-30,78.607650682662
2018-05-31,75.09837063474944
2018-06-30,82.04693073057454
2018-07-31,84.89420249108527
2018-08-31,86.29851865881594
2018-09-30,85.51149497010057
2018-10-31,84.85816045516923
2018-11-30,85.59363410785834
2018-12-31,83.62282119763007
2019-01-31,84.25685494614429
2019-02-28,82.72240438326367
2019-03-31,81.86336886235243
2019-04-30,78.40416459887014
2019-05-31,85.44939017976388
2019-06-30,82.37117111387494
2019-07-31,84.8896003593441
2019-08-31,87.03778153301793
2019-09-30,86.38278330541493
2019-10-31,84.036476023993
2019-11-30,82.80666548506865
2019-12-31,83.68274541319983
2020-01-31,82.78176021560647
2020-02-29,81.89916637126717
2020-03-31,81.05278330541495
2020-04-30,79.2859455329812
2020-05-31,80.21488455095758
2020-06-30,79.71810538924355
2020-07-31,80.8986530539659
2020-08-31,85.32039609586181
2020-09-30,85.36266962876957
2020-10-31,85.0085393773205
2020-11-30,85.36590764076608
2020-12-31,86.68914565276256
2021-01-31,82.33708229943507
2021-02-28,78.521174658669
2021-03-31,78.2668756646489
2021-04-30,76.01200828740184
2021-05-31,70.76119537717359
2021-06-30,82.53122617980063
2021-07-31,83.25975192820464
2021-08-31,85.35035820364669
2021-09-30,84.69939372455794
2021-10-31,86.81420249108527
2021-11-30,86.23816045516922
2021-12-31,84.82878390432182
2022-01-31,86.44001717371054
2022-02-28,85.32039609586181
2022-03-31,82.66407164072935
2022-04-30,81.34749911380149
2022-05-31,84.28013085035592
2022-06-30,80.47706158093048
2022-07-31,79.35427827551551
2022-08-31,82.0312676168098
2022-09-30,79.77850148510537
2022-10-31,83.58925932940794
2022-11-30,86.33266962876957
2022-12-31,83.91751628751203
2023-01-31,83.48564239526016
2023-02-28,80.27882534133099
2023-03-31,73.51585257484041
2023-04-30,77.2417051496808
2023-05-31,77.96562522154962
2023-06-30,80.73138129345517
2023-07-31,79.85248016769391
2023-08-31,82.90793310187844
2023-09-30,86.1867412694989
2023-10-31,85.88666548506866
2023-11-30,81.78507401203322
2023-12-31,84.4285600958251
2024-01-31,81.08708229943505
2024-02-29,79.15526701790293
2024-03-31,76.54854292211455
2024-04-30,73.6079159281679
2024-05-31,79.69590764076608
2024-06-30,81.10965542526979
2024-07-31,79.69814328145867
2024-08-31,80.15588692226147
2024-09-30,83.9971201916502
2024-10-31,88.66176021560648
2024-11-30,88.025301365324
2024-12-31,85.73272469469524
2025-01-31,83.49408881443988
2025-02-28,84.74342747307215
2025-03-31,79.88471580838653
2025-04-30,78.13101954501442
2025-05-31,81.85827413181461
2025-06-30,84.20693073057454
2025-07-31,86.65850148510538
2025-08-31,85.20920426348229
2025-09-30,86.0233516886419
2025-10-31,87.58886323354614
2025-11-30,88.12291415577089
2025-12-31,87.09155003602623
