date;humidity_mongolia
1/31/2018;74.82541526
2/28/2018;65.56903883
3/31/2018;50.76960401
4/30/2018;42.16186459
5/31/2018;33.81226196
6/30/2018;41.1511328
7/31/2018;52.18141108
8/31/2018;57.70973285
9/30/2018;54.67078167
10/31/2018;55.01253748
11/30/2018;61.85388405
12/31/2018;68.30574443
1/31/2019;72.40686063
2/28/2019;66.04780981
3/31/2019;48.75369791
4/30/2019;43.01695967
5/31/2019;39.95099095
6/30/2019;45.56912329
7/31/2019;51.61354703
8/31/2019;53.60053584
9/30/2019;48.1503769
10/31/2019;50.65632921
11/30/2019;59.7554002
12/31/2019;73.49839074
1/31/2020;80.12992332
2/29/2020;65.51614567
3/31/2020;49.11348521
4/30/2020;33.85458576
5/31/2020;41.37048519
6/30/2020;44.44549617
7/31/2020;53.28827885
8/31/2020;57.91844021
9/30/2020;54.14579224
10/31/2020;54.39162659
11/30/2020;67.99884826
12/31/2020;75.02215356
1/31/2021;73.80408256
2/28/2021;63.21525699
3/31/2021;48.8994977
4/30/2021;45.36518276
5/31/2021;44.81031564
6/30/2021;45.78341062
7/31/2021;55.7475537
8/31/2021;59.2607018
9/30/2021;56.83458828
10/31/2021;57.90998187
11/30/2021;63.76536686
12/31/2021;70.69220881
1/31/2022;76.57729628
2/28/2022;69.68415689
3/31/2022;53.49271351
4/30/2022;44.8165489
5/31/2022;39.00496579
6/30/2022;43.43187506
7/31/2022;47.38927858
8/31/2022;48.70610622
9/30/2022;44.95759635
10/31/2022;49.25785756
11/30/2022;61.16717644
12/31/2022;72.31414309
1/31/2023;75.20022756
2/28/2023;68.69412803
3/31/2023;44.3047219
4/30/2023;39.25149448
5/31/2023;44.98779071
6/30/2023;43.31152405
7/31/2023;51.12915917
8/31/2023;51.43999097
9/30/2023;54.39172685
10/31/2023;52.30334108
11/30/2023;63.36618415
12/31/2023;74.88902314
1/31/2024;76.98944242
2/29/2024;73.92626769
3/31/2024;55.45121958
4/30/2024;47.96049839
5/31/2024;39.80480988
6/30/2024;45.29357756
7/31/2024;52.71443787
8/31/2024;58.21455433
9/30/2024;55.98121737
10/31/2024;63.59520747
11/30/2024;66.30218412
12/31/2024;77.30197774
1/31/2025;76.80169295
2/28/2025;67.61014062
3/31/2025;55.01195889
4/30/2025;43.84484898
5/31/2025;44.78520602
6/30/2025;46.59956759
7/31/2025;48.12917355
8/31/2025;50.21482721
9/30/2025;54.29330394
10/31/2025;55.51429019
11/30/2025;61.8797895
12/31/2025;74.03455358
