date;humidity_china
1/31/2018;65.06295269
2/28/2018;61.26878382
3/31/2018;57.52911716
4/30/2018;51.85496758
5/31/2018;53.78477953
6/30/2018;59.60120544
7/31/2018;66.15498107
8/31/2018;68.0085102
9/30/2018;64.53842888
10/31/2018;59.97723476
11/30/2018;65.53792779
12/31/2018;66.08070581
1/31/2019;69.40029643
2/28/2019;66.01759605
3/31/2019;56.72612813
4/30/2019;55.10181904
5/31/2019;53.5406825
6/30/2019;60.35189676
7/31/2019;63.76734346
8/31/2019;64.80521937
9/30/2019;61.77134163
10/31/2019;62.4789794
11/30/2019;63.27878096
12/31/2019;66.4795241
1/31/2020;72.76490757
2/29/2020;64.32801638
3/31/2020;59.12225541
4/30/2020;53.23291265
5/31/2020;55.89030171
6/30/2020;61.28237621
7/31/2020;65.86547695
8/31/2020;67.00606929
9/30/2020;66.69901462
10/31/2020;62.12409586
11/30/2020;64.98838966
12/31/2020;69.35593446
1/31/2021;63.51416361
2/28/2021;61.67275057
3/31/2021;59.71971123
4/30/2021;57.05506349
5/31/2021;56.66995355
6/30/2021;61.5015723
7/31/2021;65.93816418
8/31/2021;67.17679122
9/30/2021;65.08458107
10/31/2021;66.02435899
11/30/2021;64.33745495
12/31/2021;66.42738045
1/31/2022;71.23261043
2/28/2022;67.7372038
3/31/2022;59.83223108
4/30/2022;54.39151755
5/31/2022;56.82532988
6/30/2022;61.34428919
7/31/2022;62.50858648
8/31/2022;65.98165742
9/30/2022;60.96107605
10/31/2022;61.04675294
11/30/2022;63.9644697
12/31/2022;63.98934157
1/31/2023;64.56710056
2/28/2023;65.83809826
3/31/2023;55.2131859
4/30/2023;53.1520639
5/31/2023;55.28367678
6/30/2023;57.74545985
7/31/2023;63.03634009
8/31/2023;65.77558105
9/30/2023;64.56102362
10/31/2023;61.46149624
11/30/2023;61.07494441
12/31/2023;65.63312351
1/31/2024;67.44503987
2/29/2024;67.44145089
3/31/2024;58.57307426
4/30/2024;57.02016012
5/31/2024;55.30654195
6/30/2024;60.63878222
7/31/2024;66.04059837
8/31/2024;66.63985878
9/30/2024;67.99668978
10/31/2024;64.88214319
11/30/2024;66.06289758
12/31/2024;66.44985551
1/31/2025;64.35821959
2/28/2025;62.68477002
3/31/2025;57.45391492
4/30/2025;52.86156051
5/31/2025;54.80916228
6/30/2025;59.18742988
7/31/2025;64.48119038
8/31/2025;66.54529768
9/30/2025;65.28513823
10/31/2025;65.55246082
11/30/2025;60.39890497
12/31/2025;65.69957397
