date,precip_venezuela
2018-01-31,44.58326939601851
2018-02-28,33.603802042096746
2018-03-31,69.4396939518978
2018-04-30,111.49278293137472
2018-05-31,174.93904755618493
2018-06-30,279.31764580777593
2018-07-31,210.58624422402306
2018-08-31,145.65527206686386
2018-09-30,168.32932404751273
2018-10-31,99.03212996289439
2018-11-30,71.01140222255397
2018-12-31,39.94230401296737
2019-01-31,30.571399701469094
2019-02-28,28.974130680711312
2019-03-31,23.52280915051115
2019-04-30,65.72967484655076
2019-05-31,241.02177894820295
2019-06-30,264.9529844195061
2019-07-31,215.4586756943917
2019-08-31,184.59133296130054
2019-09-30,118.46145767125208
2019-10-31,129.94140508413005
2019-11-30,80.34460862947502
2019-12-31,68.15168878337087
2020-01-31,25.20833271732331
2020-02-29,15.62757458307877
2020-03-31,37.74866887784836
2020-04-30,81.98670352775434
2020-05-31,143.25672155191808
2020-06-30,160.05942249123956
2020-07-31,156.6906197771842
2020-08-31,207.16966203392698
2020-09-30,94.70677688139844
2020-10-31,57.204674974259945
2020-11-30,73.63158088348149
2020-12-31,78.06030876989217
2021-01-31,94.49231979213796
2021-02-28,67.59228345764144
2021-03-31,101.08050304390638
2021-04-30,117.24904688696101
2021-05-31,135.35618293936042
2021-06-30,128.486902048216
2021-07-31,115.66340038894558
2021-08-31,101.23921456374391
2021-09-30,79.61761549632959
2021-10-31,100.19374284267319
2021-11-30,71.90387672045884
2021-12-31,66.01248926812409
2022-01-31,23.503296875218055
2022-02-28,50.061338444696005
2022-03-31,67.42179369932293
2022-04-30,143.6355617507331
2022-05-31,163.71697274886685
2022-06-30,218.6288382764647
2022-07-31,203.68466498332086
2022-08-31,132.9154483956639
2022-09-30,115.38834497827759
2022-10-31,70.38433449323821
2022-11-30,106.40136491912651
2022-12-31,45.1289683711218
2023-01-31,48.76904665402754
2023-02-28,40.44201990176447
2023-03-31,39.4345533538429
2023-04-30,73.59458951384785
2023-05-31,142.74348195062962
2023-06-30,135.31132256088597
2023-07-31,180.81498706753382
2023-08-31,62.547338675915654
2023-09-30,45.65962290232979
2023-10-31,95.66367934416053
2023-11-30,93.23408093329903
2023-12-31,66.33233565577959
2024-01-31,13.292355512074039
2024-02-29,19.674250006077315
2024-03-31,32.46654444453412
2024-04-30,120.11785743703476
2024-05-31,207.23946126841844
2024-06-30,274.2522685515509
2024-07-31,193.50201011735092
2024-08-31,66.19051821978624
2024-09-30,81.31696076343547
2024-10-31,47.80611116151255
2024-11-30,47.742835141251035
2024-12-31,23.64889240264396
2025-01-31,37.07855236623509
2025-02-28,28.905677714648785
2025-03-31,61.78655480834352
2025-04-30,99.17281142719105
2025-05-31,188.44464589892803
2025-06-30,341.57920367288756
2025-07-31,251.23738168605226
2025-08-31,188.63130743718048
2025-09-30,79.9811034551453
2025-10-31,103.61027732298302
2025-11-30,82.04796245375827
2025-12-31,30.19395676356414
