date,humidity_czechia
2018-01-31,94.46376068378945
2018-02-28,89.59994700877442
2018-03-31,86.9173136752673
2018-04-30,77.59695384609694
2018-05-31,74.84569059850077
2018-06-30,70.6133222222428
2018-07-31,59.81640512838712
2018-08-31,56.679529914666475
2018-09-30,66.95074359000665
2018-10-31,76.3209581196968
2018-11-30,87.9849034188743
2018-12-31,94.56025555564341
2019-01-31,93.39905811984816
2019-02-28,86.90069401719003
2019-03-31,82.61627521370943
2019-04-30,74.93325982941144
2019-05-31,76.35525555592369
2019-06-30,66.97326410312344
2019-07-31,59.15187863240995
2019-08-31,67.10978290608267
2019-09-30,71.74482393175562
2019-10-31,82.77555811959587
2019-11-30,92.1184196581109
2019-12-31,92.64411794873263
2020-01-31,93.87237692312137
2020-02-29,87.56879059837182
2020-03-31,80.34824615381339
2020-04-30,68.23075042738522
2020-05-31,71.85088205154771
2020-06-30,79.54354017146314
2020-07-31,70.08216068450702
2020-08-31,71.49141623975798
2020-09-30,74.47748034218624
2020-10-31,88.98935726511137
2020-11-30,92.86821367528414
2020-12-31,95.09512222227643
2021-01-31,95.75834957259798
2021-02-28,92.96893675203383
2021-03-31,84.18302393172196
2021-04-30,81.03627692319424
2021-05-31,81.42678376076901
2021-06-30,75.14069316244766
2021-07-31,76.01931367493094
2021-08-31,78.54275641024563
2021-09-30,76.25495470061509
2021-10-31,78.9893726493533
2021-11-30,91.94830170926616
2021-12-31,94.59223760683793
2022-01-31,92.72938717941345
2022-02-28,87.2530675213418
2022-03-31,73.68183076907812
2022-04-30,76.28559401709474
2022-05-31,69.86601196594508
2022-06-30,66.56330000006169
2022-07-31,62.512902563907645
2022-08-31,65.72531709401265
2022-09-30,79.04579316254296
2022-10-31,86.60777435899507
2022-11-30,92.1355829060042
2022-12-31,95.19619487184835
2023-01-31,93.23331025640982
2023-02-28,90.62565299151711
2023-03-31,84.74927008531111
2023-04-30,81.20031196583858
2023-05-31,76.89824273540442
2023-06-30,71.5408837610325
2023-07-31,60.788466666700316
2023-08-31,73.78822393163229
2023-09-30,71.39984957262601
2023-10-31,78.2691418801182
2023-11-30,90.21086495726037
2023-12-31,95.34565213677472
2024-01-31,91.94916923075372
2024-02-29,92.38154529913267
2024-03-31,85.32123247855169
2024-04-30,79.76256239325181
2024-05-31,78.94527094016563
2024-06-30,78.01278461562353
2024-07-31,70.93070940199259
2024-08-31,65.81224529895887
2024-09-30,74.98640256415993
2024-10-31,88.42500598291647
2024-11-30,91.48194871792286
2024-12-31,93.7344760684182
2025-01-31,93.6404273504561
2025-02-28,87.74885555543037
2025-03-31,80.41174273509607
2025-04-30,76.75195128215005
2025-05-31,71.26360256429449
2025-06-30,66.18564017094175
2025-07-31,66.41272051274679
2025-08-31,61.33880940158334
2025-09-30,75.36525042746932
2025-10-31,84.68920170928297
2025-11-30,92.11550170940072
2025-12-31,95.0641179487326
