date;humidity_venezuela
1/31/2018;72.08390889
2/28/2018;64.2516867
3/31/2018;63.87050863
4/30/2018;71.1919498
5/31/2018;79.30798911
6/30/2018;83.37276767
7/31/2018;85.67625912
8/31/2018;83.33242581
9/30/2018;84.25067894
10/31/2018;82.62118358
11/30/2018;81.28793319
12/31/2018;71.82727468
1/31/2019;64.50221021
2/28/2019;60.88713617
3/31/2019;56.91384372
4/30/2019;64.56745715
5/31/2019;76.58506589
6/30/2019;85.14762582
7/31/2019;85.18900071
8/31/2019;84.41825218
9/30/2019;82.55888263
10/31/2019;82.92190241
11/30/2019;82.41026401
12/31/2019;78.19874135
1/31/2020;68.01954648
2/29/2020;58.49106401
3/31/2020;57.65237195
4/30/2020;62.53156021
5/31/2020;70.04766558
6/30/2020;76.71821197
7/31/2020;78.95383653
8/31/2020;79.77281699
9/30/2020;78.31654376
10/31/2020;75.98127744
11/30/2020;77.77735569
12/31/2020;74.29509301
1/31/2021;74.46976709
2/28/2021;67.50204105
3/31/2021;69.52106277
4/30/2021;71.21730625
5/31/2021;72.52647132
6/30/2021;72.89642706
7/31/2021;73.40539372
8/31/2021;71.50137011
9/30/2021;70.46213172
10/31/2021;74.39949342
11/30/2021;72.27980351
12/31/2021;71.05332549
1/31/2022;64.69726988
2/28/2022;62.89840506
3/31/2022;64.83580415
4/30/2022;70.29698207
5/31/2022;75.39109445
6/30/2022;80.13462845
7/31/2022;80.87850506
8/31/2022;79.88897355
9/30/2022;79.50604617
10/31/2022;77.8728841
11/30/2022;79.33908397
12/31/2022;72.66438101
1/31/2023;70.20170691
2/28/2023;64.77412183
3/31/2023;60.24270876
4/30/2023;64.49474132
5/31/2023;70.93459796
6/30/2023;74.54293614
7/31/2023;78.02648427
8/31/2023;72.9030655
9/30/2023;67.61083253
10/31/2023;70.99995828
11/30/2023;77.64412661
12/31/2023;72.96437745
1/31/2024;60.40076741
2/29/2024;55.48097818
3/31/2024;53.6416123
4/30/2024;66.22431027
5/31/2024;78.28304062
6/30/2024;84.58497995
7/31/2024;81.18242068
8/31/2024;76.22027388
9/30/2024;75.07208279
10/31/2024;73.22751929
11/30/2024;71.31806917
12/31/2024;64.43710488
1/31/2025;60.35737019
2/28/2025;59.07833688
3/31/2025;61.08431021
4/30/2025;68.56363068
5/31/2025;75.62237606
6/30/2025;83.64494105
7/31/2025;84.48581331
8/31/2025;84.52440434
9/30/2025;80.89709784
10/31/2025;80.38224562
11/30/2025;79.03779286
12/31/2025;74.82230728
