date,precip_czechia
2018-01-31,52.45398717875193
2018-02-28,18.13284786431849
2018-03-31,39.12327179412317
2018-04-30,24.434923075706983
2018-05-31,55.30802735153248
2018-06-30,74.23084615629129
2018-07-31,44.89033162603493
2018-08-31,46.25438461658777
2018-09-30,69.35507692597487
2018-10-31,39.71791538532392
2018-11-30,18.192743590230894
2018-12-31,83.73969059838863
2019-01-31,66.91567265003164
2019-02-28,31.86316239326301
2019-03-31,49.40191794887838
2019-04-30,28.930461539030777
2019-05-31,96.7980034215484
2019-06-30,48.185153847745106
2019-07-31,51.20723077030025
2019-08-31,83.86914871917864
2019-09-30,60.554692308714365
2019-10-31,41.9798025645972
2019-11-30,50.73461538526225
2019-12-31,44.80843333454987
2020-01-31,24.688082051121636
2020-02-29,80.10655128148852
2020-03-31,40.79377435854658
2020-04-30,17.46956410324115
2020-05-31,90.85151453289124
2020-06-30,163.52189744066698
2020-07-31,56.88666923369693
2020-08-31,118.05888974456565
2020-09-30,81.4620000030273
2020-10-31,100.33671966069531
2020-11-30,24.986871795872275
2020-12-31,41.607246155102786
2021-01-31,68.95692991387043
2021-02-28,48.16548034140138
2021-03-31,34.286635897061586
2021-04-30,43.1841025650513
2021-05-31,115.71404444537134
2021-06-30,95.88335897280224
2021-07-31,101.8991461521484
2021-08-31,132.7075820537285
2021-09-30,28.90346153852623
2021-10-31,20.677741879905184
2021-11-30,49.4799230765479
2021-12-31,46.56507350420221
2022-01-31,43.81653931565557
2022-02-28,42.971408545394574
2022-03-31,19.484241880774125
2022-04-30,54.11315384639965
2022-05-31,54.43096581406021
2022-06-30,111.14843589709524
2022-07-31,63.90117436167478
2022-08-31,88.28958974439186
2022-09-30,86.23428205254558
2022-10-31,27.478797435750387
2022-11-30,38.27299999949546
2022-12-31,55.41994530041085
2023-01-31,46.02159316246447
2023-02-28,40.174663247472836
2023-03-31,52.02846580971548
2023-04-30,73.53048718130272
2023-05-31,44.6218239345026
2023-06-30,66.39482051334664
2023-07-31,65.05281111151663
2023-08-31,147.57147265107437
2023-09-30,22.343256410441843
2023-10-31,58.63824871691936
2023-11-30,91.0574358972634
2023-12-31,95.17964444398103
2024-01-31,60.373851282559286
2024-02-29,64.9107991437776
2024-03-31,27.902172650900578
2024-04-30,48.43705128336657
2024-05-31,102.58570341963674
2024-06-30,82.49728205372287
2024-07-31,85.91687094169049
2024-08-31,63.96902991334905
2024-09-30,173.19251282660198
2024-10-31,44.295317094012645
2024-11-30,35.733205127579836
2024-12-31,38.0298726489889
2025-01-31,41.82602136642962
2025-02-28,14.329729914296472
2025-03-31,34.849458120789976
2025-04-30,38.465743589726344
2025-05-31,56.43573846183258
2025-06-30,68.9626410261887
2025-07-31,103.07163504428134
2025-08-31,44.25242051330178
2025-09-30,94.3941282056414
2025-10-31,54.718391452732995
2025-11-30,56.15782051452391
2025-12-31,20.265839315829353
