date,humidity_australia
2018-01-31,45.105328142597436
2018-02-28,49.676152010391284
2018-03-31,49.5420107513757
2018-04-30,43.41497614304841
2018-05-31,46.00854942236735
2018-06-30,51.891942491093985
2018-07-31,47.30648440975264
2018-08-31,42.75557846190438
2018-09-30,37.911523659848044
2018-10-31,40.85917706928236
2018-11-30,39.740538746312176
2018-12-31,37.89346548229131
2019-01-31,39.02927963501918
2019-02-28,40.71023875943722
2019-03-31,44.525163304702936
2019-04-30,46.333642392839366
2019-05-31,48.34959873726653
2019-06-30,52.17669562509851
2019-07-31,49.98326177667686
2019-08-31,43.673970783293456
2019-09-30,35.69659264248986
2019-10-31,32.73471148420066
2019-11-30,30.83088412822022
2019-12-31,30.796529073501645
2020-01-31,45.63090373567549
2020-02-29,50.3256480051619
2020-03-31,49.79645427521689
2020-04-30,48.2953479159323
2020-05-31,49.30889625458565
2020-06-30,52.54283394937089
2020-07-31,50.99236153389348
2020-08-31,47.830797684518615
2020-09-30,42.73653126140337
2020-10-31,41.462474975911796
2020-11-30,37.901402520483046
2020-12-31,46.072681514175756
2021-01-31,47.206791679782626
2021-02-28,51.77710025451452
2021-03-31,53.502034285882516
2021-04-30,46.46468308936346
2021-05-31,50.503640552765944
2021-06-30,58.24771037806453
2021-07-31,53.44589798970844
2021-08-31,46.41158416114767
2021-09-30,40.771455328585986
2021-10-31,40.11163016848579
2021-11-30,46.507480362459894
2021-12-31,40.24414235651357
2022-01-31,48.76883286559026
2022-02-28,48.003058517136765
2022-03-31,47.215353106383006
2022-04-30,49.53273114552661
2022-05-31,56.5857103709228
2022-06-30,57.72085345296971
2022-07-31,54.49286328072924
2022-08-31,50.266582632756545
2022-09-30,49.40803912102004
2022-10-31,49.16323503875437
2022-11-30,45.75452861998423
2022-12-31,44.407325555332584
2023-01-31,51.141722406468006
2023-02-28,47.87074842549829
2023-03-31,49.748426234357574
2023-04-30,52.419040813568095
2023-05-31,48.42638170976356
2023-06-30,55.47108834574466
2023-07-31,57.63065544832929
2023-08-31,47.203954066893246
2023-09-30,37.505979025413474
2023-10-31,33.00383730935163
2023-11-30,41.05043270883298
2023-12-31,38.964574460709535
2024-01-31,49.882090772027
2024-02-29,47.556923153440486
2024-03-31,57.259732857140065
2024-04-30,52.26234864010593
2024-05-31,53.31349634550141
2024-06-30,57.24776522549905
2024-07-31,55.979892637353444
2024-08-31,50.35382033368554
2024-09-30,43.386698677441466
2024-10-31,39.272081127220694
2024-11-30,42.80832213021655
2024-12-31,43.77498563173452
2025-01-31,40.78716715682165
2025-02-28,46.2791678162474
2025-03-31,50.75542180570101
2025-04-30,52.93221599227314
2025-05-31,53.28011637193077
2025-06-30,55.1261403531667
2025-07-31,53.04823828081263
2025-08-31,49.193934089008415
2025-09-30,42.31503201070839
2025-10-31,39.2933736452883
2025-11-30,40.75493565370047
2025-12-31,40.08217426244411
