date,temp_taiwan
2018-01-31,14.476083472925222
2018-02-28,14.121557125614334
2018-03-31,17.05023089808482
2018-04-30,19.70358258672671
2018-05-31,23.64282474242413
2018-06-30,23.943127880145163
2018-07-31,23.628222610682986
2018-08-31,23.7086394250494
2018-09-30,22.77799525739221
2018-10-31,19.80015511365456
2018-11-30,19.15951094599737
2018-12-31,16.92057192802098
2019-01-31,15.940950850172271
2019-02-28,17.68985197593353
2019-03-31,17.900382466945334
2019-04-30,21.25947305378224
2019-05-31,21.45947305378224
2019-06-30,23.479359377136852
2019-07-31,24.04362047894184
2019-08-31,23.873317341220808
2019-09-30,22.348449963973756
2019-10-31,20.473999401093128
2019-11-30,18.130230898084818
2019-12-31,15.846045580710092
2020-01-31,15.441064526817659
2020-02-29,15.715136167546996
2020-03-31,18.424340431029286
2020-04-30,18.43521195197726
2020-05-31,23.16882888612505
2020-06-30,23.97875310169479
2020-07-31,24.39384783223261
2020-08-31,23.43844996397376
2020-09-30,22.8586394250494
2020-10-31,20.659321484921726
2020-11-30,19.024795137610838
2020-12-31,15.721443448968948
2021-01-31,13.082011832195882
2021-02-28,15.690079329224304
2021-03-31,18.638942562770435
2021-04-30,20.20848785618889
2021-05-31,24.382332143627455
2021-06-30,23.749548838212498
2021-07-31,24.128222610682982
2021-08-31,23.598184718467856
2021-09-30,23.412824742424128
2021-10-31,21.019510945997368
2021-11-30,18.21064771245124
2021-12-31,15.162466538777428
2022-01-31,15.236235041785738
2022-02-28,15.086386610646253
2022-03-31,18.528904670555306
2022-04-30,19.619245700491465
2022-05-31,21.423658371156964
2022-06-30,23.38973829928814
2022-07-31,24.87312788014516
2022-08-31,24.152673173563617
2022-09-30,23.159435161567114
2022-10-31,20.869283592706594
2022-11-30,20.31380994001748
2022-12-31,15.008432790263216
2023-01-31,14.806689748367285
2023-02-28,15.99574244298906
2023-03-31,17.780079329224304
2023-04-30,20.492976311284647
2023-05-31,22.34282474242413
2023-06-30,24.218374179543503
2023-07-31,24.747805796316566
2023-08-31,24.44358258672671
2023-09-30,23.55754055081066
2023-10-31,21.55882888612505
2023-11-30,18.71026879029995
2023-12-31,16.67612136514035
2024-01-31,14.76167080225972
2024-02-29,17.20871520947966
2024-03-31,17.95871520947966
2024-04-30,22.658904670555305
2024-05-31,22.50373415558722
2024-06-30,24.243961508877998
2024-07-31,25.08731319751989
2024-08-31,24.738980454985562
2024-09-30,23.958071041822468
2024-10-31,22.11803314960734
2024-11-30,19.014378323244415
2024-12-31,15.116879209442928
2025-01-31,13.072277077701782
2025-02-28,14.29049614359072
2025-03-31,17.33992776036379
2025-04-30,19.985552981913415
2025-05-31,22.389018347200693
2025-06-30,23.91293841906952
2025-07-31,23.848525748404015
2025-08-31,23.45765422745605
2025-09-30,23.312748957993875
2025-10-31,22.118222610682984
2025-11-30,18.640382466945336
2025-12-31,16.1212539878933
