date,temp_venezuela
2018-01-31,25.77354757666238
2018-02-28,26.180044028602985
2018-03-31,27.27667301131087
2018-04-30,26.636718189612974
2018-05-31,25.771192629837405
2018-06-30,25.21197706071503
2018-07-31,24.853109562810324
2018-08-31,25.262761329817206
2018-09-30,25.312765792861914
2018-10-31,25.72281165601115
2018-11-30,25.843182902800546
2018-12-31,25.743127541773255
2019-01-31,26.843647512337636
2019-02-28,27.541665440051553
2019-03-31,28.8061741236012
2019-04-30,28.09076178791755
2019-05-31,26.7601058458871
2019-06-30,25.321072382707
2019-07-31,25.106461226086168
2019-08-31,25.40363991211818
2019-09-30,25.950990173478584
2019-10-31,25.485082319289038
2019-11-30,25.773227966959748
2019-12-31,26.038357747123115
2020-01-31,26.606751753094553
2020-02-29,28.108059757454722
2020-03-31,28.42745594350978
2020-04-30,28.5238657831404
2020-05-31,27.94672476725722
2020-06-30,26.363985498670136
2020-07-31,25.975028092563473
2020-08-31,26.194931481806297
2020-09-30,26.452664144846242
2020-10-31,26.73925171647795
2020-11-30,26.373159341433702
2020-12-31,26.350000258296213
2021-01-31,25.402232815912186
2021-02-28,26.605354088796325
2021-03-31,26.313530540044358
2021-04-30,26.907656158317696
2021-05-31,26.989539579599118
2021-06-30,26.700604935653388
2021-07-31,26.601362415315535
2021-08-31,27.060579953549947
2021-09-30,27.446487685321603
2021-10-31,27.114580624156318
2021-11-30,26.878436491427824
2021-12-31,26.85691913889653
2022-01-31,26.3532772078676
2022-02-28,27.230638856761885
2022-03-31,27.454319901114005
2022-04-30,27.183567965625453
2022-05-31,26.613098902689114
2022-06-30,25.441544513648992
2022-07-31,25.66604680934221
2022-08-31,25.746550646578225
2022-09-30,26.18095237398488
2022-10-31,26.360499424883088
2022-11-30,25.91210645608304
2022-12-31,25.65952471938779
2023-01-31,25.603020732274285
2023-02-28,26.513329883753805
2023-03-31,27.71304303694812
2023-04-30,27.87305584236077
2023-05-31,27.78182319950692
2023-06-30,27.028660501147098
2023-07-31,26.746037347063336
2023-08-31,27.760980283669927
2023-09-30,28.89311291065661
2023-10-31,28.47278243440862
2023-11-30,27.027760833118975
2023-12-31,27.392745032135107
2024-01-31,28.266886001404036
2024-02-29,29.46385036988727
2024-03-31,30.300211833598077
2024-04-30,28.78804001249148
2024-05-31,27.428730972388053
2024-06-30,25.963473803419188
2024-07-31,26.254523752658674
2024-08-31,27.09833213283844
2024-09-30,27.657389803251267
2024-10-31,27.84244992211992
2024-11-30,27.847426859265436
2024-12-31,28.07939413226285
2025-01-31,27.716255541053958
2025-02-28,28.182709466575265
2025-03-31,28.451488950946867
2025-04-30,27.966919502614992
2025-05-31,26.88928091634263
2025-06-30,25.572802978471532
2025-07-31,25.30196169700027
2025-08-31,25.36437816227773
2025-09-30,26.17497881749033
2025-10-31,26.194071114250438
2025-11-30,26.157264662763584
2025-12-31,26.026616225940057
