date,precip_honduras
2018-01-31,66.24734694111513
2018-02-28,34.89664377094924
2018-03-31,22.325119561881177
2018-04-30,52.05465239035787
2018-05-31,170.22858471117772
2018-06-30,166.98447594626737
2018-07-31,84.00235791414796
2018-08-31,137.9341415108129
2018-09-30,120.67059541322764
2018-10-31,214.7318530973163
2018-11-30,63.7417222125939
2018-12-31,41.87265113731109
2019-01-31,35.15222179520582
2019-02-28,11.64349308784817
2019-03-31,10.717339045466382
2019-04-30,33.091839157365214
2019-05-31,111.45005737180826
2019-06-30,119.583291701449
2019-07-31,72.52146938822303
2019-08-31,109.65086850143305
2019-09-30,164.1385725455126
2019-10-31,188.31909376120376
2019-11-30,63.464392041974115
2019-12-31,36.37456526889003
2020-01-31,64.81986850429908
2020-02-29,49.306961918010025
2020-03-31,23.14361147550807
2020-04-30,4.953298967708317
2020-05-31,166.29365999088066
2020-06-30,247.67041033363316
2020-07-31,125.24896553791035
2020-08-31,176.794376011334
2020-09-30,171.3049788196978
2020-10-31,224.68871428530488
2020-11-30,374.63455203197225
2020-12-31,274.9057171762637
2021-01-31,143.53529437897342
2021-02-28,37.930650031552034
2021-03-31,171.5448548295988
2021-04-30,81.38586967565433
2021-05-31,112.99124143251693
2021-06-30,196.86484336696697
2021-07-31,135.82572699348617
2021-08-31,230.0612568337676
2021-09-30,155.84119082645535
2021-10-31,213.25600019215733
2021-11-30,186.47679028127047
2021-12-31,115.38315883650338
2022-01-31,42.61674605432516
2022-02-28,119.24075089045034
2022-03-31,87.22557874570087
2022-04-30,70.43735594483853
2022-05-31,251.0140650752996
2022-06-30,287.4888183613778
2022-07-31,277.7565030874152
2022-08-31,199.6065102029703
2022-09-30,277.0375415767621
2022-10-31,148.3423047755341
2022-11-30,134.49268504652122
2022-12-31,147.20512187350178
2023-01-31,81.2946216799114
2023-02-28,22.82249247973574
2023-03-31,30.13635541036998
2023-04-30,22.654144856864292
2023-05-31,88.51395321404377
2023-06-30,236.3569079106641
2023-07-31,162.85946014747262
2023-08-31,133.1122217952058
2023-09-30,127.31281720843347
2023-10-31,189.94518906253256
2023-11-30,171.0037457649313
2023-12-31,174.12956969710788
2024-01-31,25.817208510552362
2024-02-29,14.826842827316815
2024-03-31,73.93706026276706
2024-04-30,45.91268833733968
2024-05-31,46.08875625586244
2024-06-30,270.91435626300665
2024-07-31,254.55273045518504
2024-08-31,155.75428417457007
2024-09-30,262.9156449739448
2024-10-31,137.47714555471597
2024-11-30,246.2236525405117
2024-12-31,233.79072160448146
2025-01-31,79.3020105915841
2025-02-28,32.17031492988618
2025-03-31,327.3545302331943
2025-04-30,51.56954799038476
2025-05-31,81.07907277592496
2025-06-30,281.8471603081662
2025-07-31,157.41444359041162
2025-08-31,133.06876742391867
2025-09-30,185.61589476525074
2025-10-31,195.38571024140174
2025-11-30,111.53445551673411
2025-12-31,77.1367306530745
