date;temp_paraguay
1/31/2018;27.56587495
2/28/2018;26.6249294
3/31/2018;26.13722343
4/30/2018;26.22073558
5/31/2018;22.39298234
6/30/2018;17.61541757
7/31/2018;19.19802692
8/31/2018;18.79734491
9/30/2018;24.46860151
10/31/2018;26.22951055
11/30/2018;26.33100795
12/31/2018;27.68699051
1/31/2019;30.43794755
2/28/2019;28.66594341
3/31/2019;26.21039935
4/30/2019;24.21054734
5/31/2019;21.0288187
6/30/2019;20.63605998
7/31/2019;17.7285085
8/31/2019;20.51015775
9/30/2019;24.8874432
10/31/2019;28.33233379
11/30/2019;29.98930546
12/31/2019;27.54520226
1/31/2020;29.36998178
2/29/2020;28.70383908
3/31/2020;29.59492206
4/30/2020;24.15816435
5/31/2020;20.70402411
6/30/2020;21.19473728
7/31/2020;19.59830992
8/31/2020;22.24996151
9/30/2020;25.32296831
10/31/2020;29.11814478
11/30/2020;28.37081606
12/31/2020;29.02467368
1/31/2021;27.62574022
2/28/2021;27.28066337
3/31/2021;27.44605738
4/30/2021;24.63903076
5/31/2021;21.29122784
6/30/2021;19.32682724
7/31/2021;19.06305804
8/31/2021;22.70280348
9/30/2021;27.71325248
10/31/2021;26.23894592
11/30/2021;27.31681959
12/31/2021;30.05901895
1/31/2022;31.11677362
2/28/2022;29.66126193
3/31/2022;27.00707861
4/30/2022;25.21066821
5/31/2022;19.41031699
6/30/2022;18.0300262
7/31/2022;22.94971581
8/31/2022;20.89577712
9/30/2022;21.69491994
10/31/2022;23.94747855
11/30/2022;24.91598965
12/31/2022;29.46746649
1/31/2023;28.81610967
2/28/2023;27.18348197
3/31/2023;26.78089325
4/30/2023;23.37239741
5/31/2023;21.63077303
6/30/2023;19.82409819
7/31/2023;21.54780038
8/31/2023;24.70891879
9/30/2023;27.92015364
10/31/2023;29.43736239
11/30/2023;30.1939764
12/31/2023;30.54992709
1/31/2024;30.26695337
2/29/2024;30.00164376
3/31/2024;30.8304211
4/30/2024;27.47758025
5/31/2024;20.74794203
6/30/2024;23.52701948
7/31/2024;18.81846629
8/31/2024;21.71655866
9/30/2024;26.13393787
10/31/2024;28.74320159
11/30/2024;29.07713059
12/31/2024;27.74408882
1/31/2025;31.19096141
2/28/2025;30.66910723
3/31/2025;27.80918136
4/30/2025;22.90791254
5/31/2025;21.71595376
6/30/2025;17.42413729
7/31/2025;18.04372305
8/31/2025;19.84443275
9/30/2025;25.10037095
10/31/2025;25.49087978
11/30/2025;26.97450137
12/31/2025;28.22059987
