date,precip_mongolia
2018-01-31,3.715596454262671
2018-02-28,2.3487553263902523
2018-03-31,5.062407612691144
2018-04-30,13.092593364972958
2018-05-31,8.913655421279683
2018-06-30,32.85027398806517
2018-07-31,86.68286639177146
2018-08-31,69.54437137674539
2018-09-30,32.532980978905336
2018-10-31,7.67936349370253
2018-11-30,2.6997402139144953
2018-12-31,2.088645014391804
2019-01-31,1.0089708182311377
2019-02-28,2.9820551403462434
2019-03-31,2.6418744268310177
2019-04-30,7.2733517625268185
2019-05-31,20.414487400895684
2019-06-30,42.430815789012314
2019-07-31,60.05058149920187
2019-08-31,47.507480049084506
2019-09-30,16.976380341749064
2019-10-31,10.370764656575059
2019-11-30,5.986510250662538
2019-12-31,3.9393120296452655
2020-01-31,1.599723186619922
2020-02-29,4.659197911642847
2020-03-31,3.9121215242880094
2020-04-30,3.495292014056767
2020-05-31,24.53528075893674
2020-06-30,39.06145612736028
2020-07-31,70.77452209793634
2020-08-31,64.84039378885139
2020-09-30,22.517014083054157
2020-10-31,8.156478697668073
2020-11-30,6.416624360578838
2020-12-31,1.8436717234444457
2021-01-31,3.0559839148946617
2021-02-28,3.2447124427544094
2021-03-31,4.877590407222628
2021-04-30,17.745310346016286
2021-05-31,19.645275563297886
2021-06-30,39.11575090405652
2021-07-31,82.50992790492596
2021-08-31,72.3714216841517
2021-09-30,31.98815862564159
2021-10-31,8.697919832598176
2021-11-30,5.094267996337301
2021-12-31,2.3286175645899534
2022-01-31,2.7734839761712653
2022-02-28,2.0874991422962723
2022-03-31,5.366111344271958
2022-04-30,9.766747048842571
2022-05-31,11.81050373345099
2022-06-30,36.37813205308889
2022-07-31,49.55174478133071
2022-08-31,36.876617357695224
2022-09-30,14.959848547295024
2022-10-31,7.9502391116358
2022-11-30,5.5988878320840785
2022-12-31,3.891373458816364
2023-01-31,2.7736700090571405
2023-02-28,2.294493270051606
2023-03-31,4.725033728362542
2023-04-30,7.326785944012204
2023-05-31,30.76765452616484
2023-06-30,29.05550095882124
2023-07-31,66.45578108824299
2023-08-31,42.55705914939276
2023-09-30,35.18645694314026
2023-10-31,6.303553094104798
2023-11-30,10.812029984631154
2023-12-31,6.047919989003489
2024-01-31,4.374216983071822
2024-02-29,3.592533425737516
2024-03-31,3.42526434987728
2024-04-30,14.776231630284997
2024-05-31,21.567397092072788
2024-06-30,44.411859875162236
2024-07-31,76.56453930278263
2024-08-31,70.19125187940651
2024-09-30,43.362634299825466
2024-10-31,14.243867056820763
2024-11-30,6.052474643032037
2024-12-31,3.5074177229130727
2025-01-31,3.3902804595702234
2025-02-28,1.1832939902660113
2025-03-31,7.364121112506673
2025-04-30,7.859192151000941
2025-05-31,26.206718341680816
2025-06-30,39.88929503840438
2025-07-31,55.729181501806494
2025-08-31,47.49781944057225
2025-09-30,28.554411093092323
2025-10-31,8.393713566288563
2025-11-30,10.802062889513614
2025-12-31,2.922063624343825
