date,precip_poland
2018-01-31,46.251546347789144
2018-02-28,15.897598365285669
2018-03-31,33.0903737679803
2018-04-30,37.266132175195594
2018-05-31,46.29980194424851
2018-06-30,55.86211505335072
2018-07-31,100.38642322436147
2018-08-31,44.15577365060744
2018-09-30,44.67054989326906
2018-10-31,43.65262261704136
2018-11-30,16.589540058969657
2018-12-31,66.97401300871567
2019-01-31,53.497050427523725
2019-02-28,30.658934088138984
2019-03-31,40.74409746634788
2019-04-30,29.01342200075507
2019-05-31,99.17874513056643
2019-06-30,32.538238346902446
2019-07-31,51.161728907968964
2019-08-31,61.695399768379765
2019-09-30,68.03869613038731
2019-10-31,37.87138535925071
2019-11-30,45.97434917655868
2019-12-31,42.015264804611306
2020-01-31,40.174675164556795
2020-02-29,67.0396628968848
2020-03-31,32.140036225130096
2020-04-30,11.300488784208026
2020-05-31,85.93014549826938
2020-06-30,129.45515857318952
2020-07-31,61.62865898477508
2020-08-31,80.85186473229864
2020-09-30,74.50743624052556
2020-10-31,95.27903118878164
2020-11-30,25.238627923124564
2020-12-31,33.827169381753926
2021-01-31,57.2007220598808
2021-02-28,37.58815817736332
2021-03-31,31.829309546392444
2021-04-30,49.95458066021909
2021-05-31,87.6007504896626
2021-06-30,61.16535137364646
2021-07-31,96.32754585636387
2021-08-31,140.67574422805794
2021-09-30,46.358269891897876
2021-10-31,22.60294669809067
2021-11-30,49.43007833859881
2021-12-31,40.05782092181461
2022-01-31,50.29629278350122
2022-02-28,61.47481237211828
2022-03-31,10.423373762482402
2022-04-30,53.685048735902235
2022-05-31,46.12948030980214
2022-06-30,60.76501975649593
2022-07-31,87.52894218214257
2022-08-31,67.96562122875802
2022-09-30,66.95180241357339
2022-10-31,33.27288921057937
2022-11-30,26.459094543661898
2022-12-31,58.45362191885111
2023-01-31,63.93447480591233
2023-02-28,51.044682323329276
2023-03-31,54.62655629629335
2023-04-30,54.69553498124887
2023-05-31,47.439445731706776
2023-06-30,61.44573038754058
2023-07-31,74.78991813158416
2023-08-31,104.83758646630523
2023-09-30,28.469903799792558
2023-10-31,83.79677173707331
2023-11-30,77.67254401028474
2023-12-31,73.08766378232396
2024-01-31,67.04139830829352
2024-02-29,75.10851151947995
2024-03-31,37.8875079593549
2024-04-30,48.991756164198186
2024-05-31,45.479064158124665
2024-06-30,79.4272003392108
2024-07-31,91.24908914381753
2024-08-31,60.483329602819
2024-09-30,66.29925761901721
2024-10-31,40.21502742028277
2024-11-30,39.1845040189575
2024-12-31,34.73349209235544
2025-01-31,45.27807186394866
2025-02-28,17.014227464913194
2025-03-31,32.465385304945656
2025-04-30,32.337893810224244
2025-05-31,63.579714946443936
2025-06-30,60.81091775574326
2025-07-31,116.29861154049348
2025-08-31,37.75072791633795
2025-09-30,63.26816975912605
2025-10-31,68.23954649245798
2025-11-30,60.511095235913345
2025-12-31,20.9600302809563
