date,humidity_cameroon
2018-01-31,55.65427138387769
2018-02-28,62.82006039929667
2018-03-31,69.20088044822182
2018-04-30,75.87536429351738
2018-05-31,82.09317915856852
2018-06-30,82.63269049166553
2018-07-31,85.78552443126014
2018-08-31,87.21930405090244
2018-09-30,87.48046560654936
2018-10-31,85.894054361096
2018-11-30,77.90253088961627
2018-12-31,66.40198825765293
2019-01-31,60.828642174781585
2019-02-28,59.77011623339163
2019-03-31,65.76036240448403
2019-04-30,71.3595951974345
2019-05-31,74.59565488861169
2019-06-30,78.89493416618859
2019-07-31,83.91157124777801
2019-08-31,87.25965662009578
2019-09-30,86.68277281327549
2019-10-31,87.49118240989915
2019-11-30,79.43281722285782
2019-12-31,65.27140597521749
2020-01-31,55.934827810280154
2020-02-29,51.80799418743939
2020-03-31,66.60367503741344
2020-04-30,77.5398978661246
2020-05-31,81.91772855685423
2020-06-30,83.00615284881344
2020-07-31,86.65677963539264
2020-08-31,87.53225498058983
2020-09-30,88.39699290673714
2020-10-31,85.02734436958454
2020-11-30,77.65867525474054
2020-12-31,67.95160844836903
2021-01-31,60.75492035431004
2021-02-28,56.325266582251
2021-03-31,68.24387018355992
2021-04-30,73.30367589263106
2021-05-31,79.58726621465814
2021-06-30,81.85918755310105
2021-07-31,85.1465417753299
2021-08-31,86.24104848087852
2021-09-30,86.36475311208373
2021-10-31,84.37720853027265
2021-11-30,76.12095044773487
2021-12-31,65.85696652341802
2022-01-31,57.41826501717998
2022-02-28,50.75495212321995
2022-03-31,61.997418683545675
2022-04-30,73.85556804606674
2022-05-31,80.76693474398073
2022-06-30,82.2433086548039
2022-07-31,86.61647853376384
2022-08-31,88.90753267604453
2022-09-30,88.79563174678582
2022-10-31,86.4193643729778
2022-11-30,77.35799928809699
2022-12-31,68.6735998756662
2023-01-31,63.405751508248926
2023-02-28,58.13231276480503
2023-03-31,69.35919668195741
2023-04-30,75.90787854208543
2023-05-31,79.46127763870872
2023-06-30,85.08555348361871
2023-07-31,82.87028944583314
2023-08-31,85.36724431575593
2023-09-30,85.12012166635684
2023-10-31,81.45109350608466
2023-11-30,76.88833200566543
2023-12-31,61.26144119666519
2024-01-31,48.31090995520576
2024-02-29,49.08720478164688
2024-03-31,61.428031500290714
2024-04-30,72.2941998670767
2024-05-31,73.55525813121122
2024-06-30,77.93697812174665
2024-07-31,81.04553104979115
2024-08-31,82.92923638425117
2024-09-30,85.04901738382247
2024-10-31,84.6808659490657
2024-11-30,70.29086586142786
2024-12-31,56.069833649645844
2025-01-31,47.938562423763166
2025-02-28,46.18141968095648
2025-03-31,50.84701036679723
2025-04-30,62.166577956224614
2025-05-31,69.20388084486038
2025-06-30,76.73635337972011
2025-07-31,85.21683129657673
2025-08-31,82.93279216395041
2025-09-30,84.96194508558399
2025-10-31,83.6190100216304
2025-11-30,72.38915606580511
2025-12-31,59.628821052489066
