date,humidity_ukraine
2018-01-31,91.94270720275466
2018-02-28,90.98941315414382
2018-03-31,90.14384596409622
2018-04-30,76.0666807764043
2018-05-31,70.69888273794265
2018-06-30,64.59660945675009
2018-07-31,68.96935769769871
2018-08-31,54.38655857374492
2018-09-30,62.1832051217544
2018-10-31,72.69930204393417
2018-11-30,83.82567052042832
2018-12-31,95.39276512170727
2019-01-31,96.44094940594569
2019-02-28,91.65889244082737
2019-03-31,80.64777818455212
2019-04-30,71.02820961566064
2019-05-31,76.1264602884503
2019-06-30,64.32311407238424
2019-07-31,59.538469836228515
2019-08-31,56.02664964043788
2019-09-30,56.694443333530394
2019-10-31,73.81378679685947
2019-11-30,83.91460670389331
2019-12-31,91.23635606784755
2020-01-31,89.61703422908282
2020-02-29,86.61786281368785
2020-03-31,73.89550361148115
2020-04-30,61.25457939539062
2020-05-31,70.86742774175714
2020-06-30,71.07317751998801
2020-07-31,59.953324251950825
2020-08-31,54.50675612283763
2020-09-30,55.29402249384686
2020-10-31,76.24509070893069
2020-11-30,87.86181986361532
2020-12-31,91.55045593771824
2021-01-31,92.71554605194976
2021-02-28,91.32084638138383
2021-03-31,82.59239033326172
2021-04-30,78.11454360304977
2021-05-31,75.50982151558323
2021-06-30,77.80394466201277
2021-07-31,65.93469088149898
2021-08-31,62.238344619628215
2021-09-30,66.87540222947533
2021-10-31,71.19021055391022
2021-11-30,85.36968619930968
2021-12-31,91.82794512571408
2022-01-31,91.0487021027197
2022-02-28,88.77944046319435
2022-03-31,77.2182603576816
2022-04-30,78.10036294633207
2022-05-31,67.54246898840651
2022-06-30,63.36975589260244
2022-07-31,59.4138918790849
2022-08-31,60.91347354886452
2022-09-30,72.03629367302806
2022-10-31,79.99511218222072
2022-11-30,90.0738988014037
2022-12-31,93.1238102509535
2023-01-31,91.35172599581438
2023-02-28,88.26681422636939
2023-03-31,82.80590341964141
2023-04-30,82.27459082281547
2023-05-31,73.94398331579542
2023-06-30,73.34022965163426
2023-07-31,70.70622766414768
2023-08-31,63.790857411048606
2023-09-30,60.96110806635896
2023-10-31,73.46034008133063
2023-11-30,87.36984447123643
2023-12-31,94.68359066723656
2024-01-31,93.12266618001583
2024-02-29,89.62210605411033
2024-03-31,83.76703338683693
2024-04-30,77.65594951565575
2024-05-31,68.24363980744734
2024-06-30,70.28876779538122
2024-07-31,58.234174469285406
2024-08-31,53.12896160261881
2024-09-30,52.08711589320633
2024-10-31,75.6690252946457
2024-11-30,84.94213637298942
2024-12-31,92.49320014705978
2025-01-31,91.57129364238479
2025-02-28,82.05668070712939
2025-03-31,77.41865903835092
2025-04-30,67.99177182323515
2025-05-31,68.94411443255368
2025-06-30,63.502042324317934
2025-07-31,58.24881387351493
2025-08-31,55.156411677513795
2025-09-30,59.94591856417718
2025-10-31,79.42250510087362
2025-11-30,90.64338958981972
2025-12-31,90.78742261638439
