date,precip_taiwan
2018-01-31,113.79754953441373
2018-02-28,51.60535942578402
2018-03-31,53.73037837189159
2018-04-30,41.22214922188021
2018-05-31,52.6471403598951
2018-06-30,330.4965542526979
2018-07-31,244.81894855183913
2018-08-31,574.6829741102458
2018-09-30,116.24602131741146
2018-10-31,59.255169414448694
2018-11-30,41.181225629540926
2018-12-31,31.125046203940556
2019-01-31,47.888539377320505
2019-02-28,47.7012741561382
2019-03-31,140.9372327677762
2019-04-30,129.36355257759524
2019-05-31,340.56954254211996
2019-06-30,346.34529341845246
2019-07-31,292.0481918080559
2019-08-31,632.2373647186514
2019-09-30,286.0000354479405
2019-10-31,16.883840742644516
2019-11-30,11.092042634822917
2019-12-31,100.79634407311768
2020-01-31,51.33612845472844
2020-02-29,29.415769700822043
2020-03-31,121.21288170236475
2020-04-30,65.2107815573415
2020-05-31,455.5895820851142
2020-06-30,106.11360574950595
2020-07-31,111.91939726935198
2020-08-31,373.60051032276687
2020-09-30,117.87271760510714
2020-10-31,37.79650682662003
2020-11-30,60.45738898195015
2020-12-31,76.6163440731177
2021-01-31,19.82238011996503
2021-02-28,50.39575607190555
2021-03-31,35.45799825192656
2021-04-30,32.831243353511155
2021-05-31,102.57294330761884
2021-06-30,419.13223832820313
2021-07-31,284.54305319623427
2021-08-31,486.65760239930063
2021-09-30,99.70282419216443
2021-10-31,206.85393315052562
2021-11-30,54.72328598833408
2021-12-31,48.322410922592056
2022-01-31,90.48358558126105
2022-02-28,120.15231032460348
2022-03-31,111.82542457583214
2022-04-30,43.02442275478794
2022-05-31,271.92157509282043
2022-06-30,100.25280646819422
2022-07-31,106.98876373607692
2022-08-31,86.79177738931702
2022-09-30,102.7272114990119
2022-10-31,115.92056318765381
2022-11-30,92.30564838432888
2022-12-31,37.61742632390558
2023-01-31,28.181808191944047
2023-02-28,24.615597413456946
2023-03-31,29.263871545271556
2023-04-30,100.83296622716217
2023-05-31,109.39241092259206
2023-06-30,152.1755417972716
2023-07-31,135.2598459868648
2023-08-31,241.30152222793356
2023-09-30,208.44491999889803
2023-10-31,93.01174658668998
2023-11-30,10.636927185780507
2023-12-31,39.323013653240075
2024-01-31,25.711205461296032
2024-02-29,25.06576970082205
2024-03-31,23.385618131961532
2024-04-30,120.30619904358556
2024-05-31,88.42218656383564
2024-06-30,105.82497341404465
2024-07-31,205.6644434732925
2024-08-31,118.5086317852016
2024-09-30,187.22097700748586
2024-10-31,276.89567099684837
2024-11-30,80.55056838322695
2024-12-31,28.50707875464102
2025-01-31,39.823840742644514
2025-02-28,77.52180464715
2025-03-31,137.68687645814447
2025-04-30,150.23117245763024
2025-05-31,226.77370005140202
2025-06-30,240.17785077811982
2025-07-31,670.8692565781095
2025-08-31,214.77895729220631
2025-09-30,135.48126107748138
2025-10-31,180.89722402740904
2025-11-30,169.00902323575002
2025-12-31,90.53697760639272
