date;precipitation;solar;humidity;temperature;area
1/31/2018;263.3671415;107.0313954;87.45424779;21.79915205;CostaRica
2/28/2018;59.83067032;140.1151935;80.02244216;22.18576219;CostaRica
3/31/2018;70.39226614;164.4288865;75.49352953;23.26904232;CostaRica
4/30/2018;126.819852;147.5787183;79.45280322;23.75199324;CostaRica
5/31/2018;268.3264631;155.6257355;84.78994208;23.53539308;CostaRica
6/30/2018;303.5093773;115.4144317;89.55505583;23.1588428;CostaRica
7/31/2018;435.5531524;102.0326553;88.73868512;23.13553274;CostaRica
8/31/2018;240.4375961;121.7523473;87.03816637;23.13218278;CostaRica
9/30/2018;269.6276332;137.5138789;88.06445728;23.09889268;CostaRica
10/31/2018;353.9940228;134.7659431;90.30475656;22.42215286;CostaRica
11/30/2018;137.933918;117.7058691;87.9552753;22.97893258;CostaRica
12/31/2018;47.64821207;142.4604103;83.57994014;22.43914208;CostaRica
1/31/2019;15.29570427;145.9742844;77.66565245;22.68244216;CostaRica
2/28/2019;28.28586581;144.1416135;70.47813451;23.6858819;CostaRica
3/31/2019;93.63639036;154.4496265;71.40486436;24.1058819;CostaRica
4/30/2019;118.0331199;150.9244582;74.37830603;24.67882285;CostaRica
5/31/2019;365.763199;131.51905;87.37866517;23.74544296;CostaRica
6/30/2019;237.4124698;128.0224777;88.61769751;23.90564248;CostaRica
7/31/2019;204.2272818;128.1064875;86.36499598;23.49882285;CostaRica
8/31/2019;235.593815;124.491585;87.28457699;23.50226259;CostaRica
9/30/2019;273.8404441;132.4947373;88.73799678;23.19223266;CostaRica
10/31/2019;368.4233731;138.4309199;91.71101754;22.63902236;CostaRica
11/30/2019;238.8233435;107.2825068;87.7684457;22.87882285;CostaRica
12/31/2019;143.7729522;107.7253253;87.13433757;22.97231247;CostaRica
1/31/2020;105.955117;126.2608327;84.50704908;22.89577216;CostaRica
2/29/2020;47.08409204;142.5643889;79.29015961;23.41894256;CostaRica
3/31/2020;19.12171778;179.0346687;71.31524344;24.05232245;CostaRica
4/30/2020;181.517358;153.0610262;76.33785712;24.37897249;CostaRica
5/31/2020;224.5419932;138.4789428;84.48546484;24.19889268;CostaRica
6/30/2020;358.4392469;124.1175025;88.70778729;23.28554272;CostaRica
7/31/2020;222.3772505;136.5267042;87.48773741;22.89886275;CostaRica
8/31/2020;256.7053587;138.7089867;88.99435752;23.05893258;CostaRica
9/30/2020;271.9905229;152.0142522;88.41734835;22.8856325;CostaRica
10/31/2020;385.8946439;138.8177784;90.39754787;22.79566243;CostaRica
11/30/2020;466.8083217;120.3585568;91.07093773;22.3888827;CostaRica
12/31/2020;247.8902755;123.3168545;87.62637072;22.10579212;CostaRica
1/31/2021;68.72975833;133.8150936;84.4664206;22.13905229;CostaRica
2/28/2021;34.64659181;139.5900727;80.31679968;22.93914208;CostaRica
3/31/2021;106.5513046;165.0686407;75.14575221;23.36575221;CostaRica
4/30/2021;231.3702719;139.3315302;81.95034916;23.65235237;CostaRica
5/31/2021;263.6276612;128.9065479;86.66588383;23.47216283;CostaRica
6/30/2021;266.8902236;138.3680131;87.73100756;23.19220273;CostaRica
7/31/2021;273.004605;121.3759366;87.69835591;23.32546291;CostaRica
8/31/2021;369.9993503;133.5251786;89.20500595;22.80222269;CostaRica
9/30/2021;274.6833403;138.9163474;88.25803669;22.93221271;CostaRica
10/31/2021;232.6239501;142.9177629;89.28547482;23.03215286;CostaRica
11/30/2021;127.0684345;113.7584586;87.21142655;22.42212293;CostaRica
12/31/2021;95.19721418;123.6805256;86.28808657;22.63892261;CostaRica
1/31/2022;24.38615125;150.483423;79.78384875;22.32901239;CostaRica
2/28/2022;29.40698311;145.8735951;73.1662111;22.89903234;CostaRica
3/31/2022;153.5961564;165.4222181;74.76105551;23.76927176;CostaRica
4/30/2022;223.6630475;142.277374;81.04926372;23.86877297;CostaRica
5/31/2022;257.053646;142.6183952;87.85574417;23.47885277;CostaRica
6/30/2022;374.834259;128.6636361;90.22518552;22.43551279;CostaRica
7/31/2022;228.0076586;122.3251179;89.24174578;22.99549284;CostaRica
8/31/2022;220.4817465;140.854471;87.6852354;22.89550282;CostaRica
9/30/2022;291.7818439;141.2179974;89.67829606;22.83892261;CostaRica
10/31/2022;291.1839527;135.5798972;90.34475656;22.66553274;CostaRica
11/30/2022;290.8683765;104.6939204;90.93160612;22.37218278;CostaRica
12/31/2022;76.79779889;128.6931633;85.90985036;22.22576219;CostaRica
1/31/2023;67.19645794;134.1876229;83.33961094;22.2791321;CostaRica
2/28/2023;55.45173162;137.1147118;77.74829413;22.86583202;CostaRica
3/31/2023;118.4079392;153.6802479;78.85304071;23.22910217;CostaRica
4/30/2023;92.22264523;167.4510312;75.78152631;24.31554272;CostaRica
