date;precipitation;solar;humidity;temperature;area
1/31/2018;66.68553325;5.994469452;97.85217085;-7.874757034;Sweden
2/28/2018;31.53503026;21.18467771;98.0356526;-10.10422602;Sweden
3/31/2018;38.76983221;70.04393079;95.51362414;-7.429664556;Sweden
4/30/2018;46.1146889;118.4763336;90.23900601;1.12555453;Sweden
5/31/2018;37.67707108;179.4549728;78.2648868;11.22870006;Sweden
6/30/2018;73.29219843;171.7743369;75.40808117;12.03316099;Sweden
7/31/2018;51.43547723;181.877283;75.22278524;18.5719939;Sweden
8/31/2018;115.6013676;113.9679368;82.87771237;13.80953825;Sweden
9/30/2018;72.15866005;72.99269259;85.58341346;9.523536573;Sweden
10/31/2018;65.04063344;35.91375771;92.44232356;3.4703095;Sweden
11/30/2018;42.17640914;8.900737543;97.31612951;-0.254304617;Sweden
12/31/2018;68.762413;3.348548012;98.2051679;-5.482074263;Sweden
1/31/2019;46.92806276;6.921002119;97.70365715;-8.528711232;Sweden
2/28/2019;58.56952708;22.39663825;96.70811697;-5.147297648;Sweden
3/31/2019;78.03083255;65.75579172;93.06564299;-3.507507852;Sweden
4/30/2019;17.3448704;131.3113719;80.3673129;3.377513466;Sweden
5/31/2019;108.2728606;141.3586915;81.32881551;6.607728448;Sweden
6/30/2019;98.39256005;160.9576188;78.19084214;13.34663598;Sweden
7/31/2019;70.5698739;160.1884974;78.20181387;14.81651887;Sweden
8/31/2019;99.2008503;112.4973858;84.61297241;14.25964969;Sweden
9/30/2019;88.42634321;68.52648366;87.39905347;8.42251492;Sweden
10/31/2019;85.29826078;30.03134323;94.05151436;1.239764418;Sweden
11/30/2019;70.64452182;8.164515969;97.65922633;-3.999581031;Sweden
12/31/2019;80.32695007;3.386291098;98.40899298;-3.711066597;Sweden
1/31/2020;75.86070051;6.101292066;96.49143989;-2.078426631;Sweden
2/29/2020;66.75324841;23.78587889;95.48730618;-3.78472214;Sweden
3/31/2020;56.37838933;67.2068794;91.70108839;-2.327380021;Sweden
4/30/2020;41.66746138;120.978812;84.95242575;1.252534694;Sweden
5/31/2020;50.86195802;166.7362013;80.37351537;5.027070371;Sweden
