date;temperature;humidity;solar;precipitation;Area
1/31/2018;25.54215484;79.95355161;169.4452485;165.3096131;Brazil
2/28/2018;25.00448479;84.0166043;140.1538667;239.5835852;Brazil
3/31/2018;25.36959012;83.97781955;160.8510544;173.7780447;Brazil
4/30/2018;24.44008803;83.9758553;142.5169316;147.9392592;Brazil
5/31/2018;23.84232174;79.78960532;144.5158681;92.94290965;Brazil
6/30/2018;23.36810606;75.39363901;138.1359485;48.83007459;Brazil
7/31/2018;23.95740073;67.34838521;155.9509834;43.11966872;Brazil
8/31/2018;25.07856032;64.77264659;163.0164485;47.26649694;Brazil
9/30/2018;26.76245018;62.69973534;168.7967473;65.53741975;Brazil
10/31/2018;27.20608401;69.43041667;171.8921723;110.0036787;Brazil
11/30/2018;26.22875528;76.873801;155.5047647;170.3903128;Brazil
12/31/2018;25.36422584;80.99290801;166.6198712;174.1675809;Brazil
1/31/2019;25.98962317;79.38514909;168.9478382;158.0253103;Brazil
2/28/2019;25.86474717;81.65806847;142.8082237;187.6930354;Brazil
3/31/2019;25.48835597;83.53008448;155.8284257;182.5422948;Brazil
4/30/2019;25.25467657;83.87401454;137.5057451;154.3533453;Brazil
5/31/2019;24.74790837;81.16716289;132.5950483;108.0949039;Brazil
6/30/2019;24.1657188;75.39910977;131.8541525;58.62337491;Brazil
7/31/2019;23.87725021;68.79311251;142.8251782;48.49903015;Brazil
8/31/2019;25.35356151;61.96623021;162.8957095;34.02252968;Brazil
9/30/2019;27.62112282;59.10430967;175.5396269;45.45703773;Brazil
10/31/2019;27.34601443;66.56931582;180.8977418;94.80101859;Brazil
11/30/2019;27.10842281;71.5825302;170.2333201;119.058993;Brazil
12/31/2019;26.72226145;75.06366399;170.9369402;143.8055574;Brazil
1/31/2020;26.30277846;79.55550267;161.7095455;162.3383136;Brazil
2/29/2020;25.95092741;81.48315289;144.3987484;177.5247752;Brazil
3/31/2020;25.52141414;82.85028873;152.6159158;204.6479764;Brazil
4/30/2020;24.68970486;83.02483465;137.1266028;176.5651703;Brazil
5/31/2020;23.6916709;80.89101264;132.8480337;133.8626302;Brazil
6/30/2020;23.94929168;77.50335206;128.9785874;79.5744289;Brazil
