date,HN_temp,HN_precip,DN_temp,DN_precip,HCM_temp,HCM_precip
2018-01-31,17.003225806451614,44.2,22.006451612903227,98.3,26.73225806451613,42.4
2018-02-28,16.557142857142857,19.1,20.764285714285712,27.4,27.075,1.4
2018-03-31,21.80322580645161,36.5,23.635483870967743,33.8,28.63225806451613,26.3
2018-04-30,23.466666666666665,113.6,25.363333333333333,36.699999999999996,29.493333333333332,18.9
2018-05-31,28.009677419354837,251.6,28.683870967741935,9.9,28.4,199.8
2018-06-30,29.15666666666667,179.7,29.029999999999998,86.7,27.166666666666668,211.8
2018-07-31,28.403225806451612,505.2,28.993548387096773,138.7,26.92258064516129,248.2
2018-08-31,27.990322580645163,540.1,28.81935483870968,127.2,26.796774193548387,272.1
2018-09-30,27.273333333333333,235.4,27.866666666666667,96.2,26.61,291.7
2018-10-31,24.416129032258063,189.3,26.219354838709677,158.7,26.92258064516129,201.1
2018-11-30,22.31,87.4,25.05666666666667,205.10000000000002,27.266666666666666,204.20000000000002
2018-12-31,18.009677419354837,120.6,24.01290322580645,278.2,27.193548387096776,66.6
2019-01-31,16.996774193548386,69.1,22.322580645161292,240.8,26.94193548387097,12.200000000000001
2019-02-28,21.689285714285713,73.2,24.2,15.1,28.15357142857143,3.8
2019-03-31,21.81935483870968,68.39999999999999,25.93548387096774,22.9,29.029032258064515,10.3
2019-04-30,26.69,273.3,28.063333333333333,5.6,30.19333333333333,48.2
2019-05-31,27.338709677419356,265.3,29.641935483870967,80.8,28.787096774193547,237.8
2019-06-30,30.263333333333332,212.6,31.123333333333335,8.5,27.716666666666665,202.29999999999998
2019-07-31,29.664516129032258,247.2,30.154838709677417,168.5,27.261290322580646,259.4
2019-08-31,28.470967741935485,556.8,29.467741935483872,235.2,27.1,299.40000000000003
2019-09-30,27.416666666666668,221.9,27.373333333333335,269.7,26.84,326.3
2019-10-31,24.92258064516129,168.2,26.37741935483871,270.6,27.306451612903224,141.9
2019-11-30,21.66,67.0,24.696666666666665,237.4,26.776666666666664,83.89999999999999
2019-12-31,18.17096774193548,43.4,22.470967741935485,87.8,27.13225806451613,2.7
2020-01-31,18.95483870967742,101.0,22.822580645161292,116.8,27.893548387096775,2.8
2020-02-29,19.13103448275862,80.1,22.613793103448273,88.0,28.120689655172413,4.300000000000001
2020-03-31,22.396774193548385,169.3,25.603225806451615,38.8,29.18064516129032,4.8
2020-04-30,21.766666666666666,145.9,25.803333333333335,167.7,29.12,60.7
2020-05-31,28.72258064516129,137.6,28.79032258064516,25.6,29.967741935483872,154.1
2020-06-30,30.89333333333333,118.9,30.040000000000003,12.7,27.416666666666668,381.6
2020-07-31,30.56451612903226,141.2,29.848387096774193,27.4,27.348387096774193,293.8
2020-08-31,27.990322580645163,500.7,28.664516129032258,133.8,27.43548387096774,283.6
2020-09-30,27.470000000000002,597.2,28.953333333333333,131.5,27.133333333333333,363.1
2020-10-31,23.325806451612905,294.5,26.12258064516129,811.6,26.203225806451613,411.3
2020-11-30,22.303333333333335,81.9,24.67,576.5,26.813333333333333,123.5
2020-12-31,16.73548387096774,23.3,22.29032258064516,325.3,26.893548387096775,81.3
2021-01-31,15.7,14.2,20.229032258064517,141.9,26.77741935483871,22.8
2021-02-28,19.942857142857143,63.3,21.62857142857143,43.2,26.767857142857142,18.6
2021-03-31,22.248387096774195,52.9,24.793548387096774,79.5,28.94193548387097,11.2
2021-04-30,24.55666666666667,164.7,26.52,29.9,28.1,220.8
2021-05-31,28.95483870967742,123.6,29.016129032258064,17.9,28.316129032258065,272.3
2021-06-30,29.956666666666667,211.1,30.53666666666667,44.7,27.8,175.2
2021-07-31,29.306451612903224,262.7,29.641935483870967,61.2,27.261290322580646,284.0
2021-08-31,29.151612903225807,250.9,30.248387096774195,77.7,27.183870967741935,309.4
2021-09-30,27.45,267.7,27.25,408.7,26.68,369.1
2021-10-31,23.448387096774194,452.7,26.141935483870967,575.9,26.483870967741936,383.0
2021-11-30,20.903333333333332,49.4,24.81,311.3,26.333333333333332,245.7
2021-12-31,17.787096774193547,8.2,22.27741935483871,398.1,26.251612903225805,21.2
2022-01-31,17.838709677419356,72.6,22.561290322580643,172.4,27.41290322580645,10.6
2022-02-28,14.625,100.5,22.060714285714287,71.89999999999999,28.474999999999998,30.7
2022-03-31,22.190322580645162,95.2,24.703225806451613,67.8,28.629032258064516,75.0
2022-04-30,23.403333333333332,43.8,25.3,294.8,27.65666666666667,231.20000000000002
2022-05-31,25.338709677419356,328.3,27.07741935483871,112.1,27.35483870967742,368.1
2022-06-30,29.40666666666667,234.9,30.14333333333333,26.0,27.313333333333333,325.5
2022-07-31,28.751612903225805,320.5,28.748387096774195,124.7,26.925806451612903,311.9
2022-08-31,28.006451612903227,493.0,28.5258064516129,106.89999999999999,26.706451612903226,326.5
2022-09-30,26.986666666666668,427.4,27.566666666666666,344.0,26.36,369.4
2022-10-31,24.138709677419353,144.4,25.738709677419354,506.59999999999997,26.299999999999997,296.6
2022-11-30,24.243333333333332,83.5,25.256666666666668,145.1,26.39333333333333,178.5
2022-12-31,16.09032258064516,16.0,22.26774193548387,343.6,26.154838709677417,32.6
2023-01-31,16.529032258064515,10.9,21.116129032258065,187.2,25.91290322580645,96.6
2023-02-28,19.900000000000002,50.300000000000004,22.75357142857143,118.3,27.660714285714285,12.0
2023-03-31,22.338709677419356,28.8,23.883870967741935,40.7,28.041935483870965,3.9000000000000004
2023-04-30,25.226666666666667,64.2,27.433333333333334,25.6,29.80666666666667,86.4
2023-05-31,28.10967741935484,126.8,28.903225806451612,65.89999999999999,28.864516129032257,245.8
2023-06-30,29.05,298.9,30.040000000000003,79.3,27.543333333333333,286.5
2023-07-31,30.187096774193545,156.9,29.970967741935485,96.2,27.05483870967742,412.6
2023-08-31,28.151612903225807,464.2,30.783870967741937,82.6,27.490322580645163,341.4
2023-09-30,27.23,338.1,28.276666666666667,199.4,26.723333333333336,447.0
2023-10-31,26.083870967741937,62.5,26.38064516129032,715.7,26.838709677419356,403.2
2023-11-30,22.653333333333332,43.6,25.043333333333333,366.6,26.846666666666668,124.7
2023-12-31,18.748387096774195,18.3,23.31935483870968,391.5,27.88064516129032,29.1
2024-01-31,17.74516129032258,142.6,22.393548387096775,152.5,27.812903225806455,1.7
2024-02-29,19.451724137931034,29.2,23.620689655172413,31.8,28.620689655172413,5.2
2024-03-31,21.6,121.0,25.287096774193547,38.7,29.625806451612902,4.6
2024-04-30,27.85,41.6,28.936666666666667,2.1,31.12,4.2
2024-05-31,27.383870967741935,319.3,29.322580645161292,71.3,29.812903225806455,246.70000000000002
2024-06-30,29.176666666666666,519.3,30.523333333333333,138.5,28.316666666666666,241.8
2024-07-31,28.835483870967742,577.5,29.419354838709676,120.30000000000001,26.980645161290322,385.9
2024-08-31,28.761290322580646,334.0,30.751612903225805,33.300000000000004,27.654838709677417,284.3
2024-09-30,27.263333333333332,599.4,28.48,316.3,26.959999999999997,416.2
2024-10-31,25.370967741935484,81.5,25.770967741935483,528.0,26.664516129032258,342.2
2024-11-30,23.459999999999997,8.2,24.65666666666667,470.8,27.736666666666668,78.0
2024-12-31,18.164516129032258,12.700000000000001,22.45483870967742,303.9,26.29032258064516,113.9
2025-01-31,17.58709677419355,18.7,20.516129032258064,111.30000000000001,26.64516129032258,17.5
2025-02-28,17.225,48.0,21.910714285714285,106.6,27.639285714285712,46.6
2025-03-31,20.438709677419357,31.7,23.461290322580645,184.9,29.11935483870968,26.8
2025-04-30,24.81,154.5,26.263333333333332,38.1,29.30666666666667,71.0
2025-05-31,26.90967741935484,255.79999999999998,28.793548387096774,65.2,28.309677419354838,305.7
2025-06-30,28.740000000000002,481.2,29.473333333333336,393.0,27.243333333333332,344.3
2025-07-31,28.725806451612904,320.8,29.741935483870968,142.3,27.416129032258063,331.2
2025-08-31,28.187096774193545,381.6,29.538709677419355,252.5,26.90967741935484,440.6
2025-09-30,27.773333333333333,333.9,27.576666666666664,351.7,26.456666666666667,451.0
2025-10-31,25.190322580645162,281.7,26.187096774193545,826.7,26.90967741935484,283.8
2025-11-30,20.246666666666666,109.69999999999999,24.103333333333335,436.1,26.19,213.9
2025-12-31,20.019354838709678,35.900000000000006,23.07741935483871,244.3,27.0258064516129,122.8
