date,temp_vietnam
2018-01-31,19.386667166067326
2018-02-28,19.19022661605703
2018-03-31,22.94065499836838
2018-04-30,24.844956936910844
2018-05-31,26.55755137320863
2018-06-30,25.97854743889185
2018-07-31,25.83905759212166
2018-08-31,25.69945051531883
2018-09-30,25.282554822877906
2018-10-31,23.54307956532479
2018-11-30,22.394780665598233
2018-12-31,20.2596761441815
2019-01-31,19.349092486532808
2019-02-28,22.44498434572261
2019-03-31,24.101570779935596
2019-04-30,26.99840610703844
2019-05-31,26.718920346253956
2019-06-30,26.855307852264733
2019-07-31,26.177870874757613
2019-08-31,26.089444398273358
2019-09-30,25.075086391399942
2019-10-31,24.174331574678142
2019-11-30,21.534300595714647
2019-12-31,19.169108356475814
2020-01-31,20.4277034477193
2020-02-29,20.925001730047523
2020-03-31,24.46463572516576
2020-04-30,24.260085841168685
2020-05-31,27.66868982860326
2020-06-30,26.748282037997196
2020-07-31,26.521337394710255
2020-08-31,25.925802744204397
2020-09-30,25.827158165662144
2020-10-31,22.9727696971312
2020-11-30,21.82961892894025
2020-12-31,18.305736624126784
2021-01-31,17.335786388464218
2021-02-28,20.536272758981173
2021-03-31,23.85247590095438
2021-04-30,25.376007835451084
2021-05-31,26.72752240281933
2021-06-30,26.386226292705818
2021-07-31,26.250160630908304
2021-08-31,26.20851017357955
2021-09-30,25.386129199450473
2021-10-31,23.170614843985454
2021-11-30,21.39700672778384
2021-12-31,18.683075778089407
2022-01-31,19.688691193923912
2022-02-28,19.328867435764174
2022-03-31,23.838547014312283
2022-04-30,24.094089134922157
2022-05-31,24.919022270640706
2022-06-30,26.140392328599475
2022-07-31,26.237209762056956
2022-08-31,25.854484864573912
2022-09-30,25.366700833010892
2022-10-31,23.073074697269043
2022-11-30,22.95473529855638
2022-12-31,17.91084601721392
2023-01-31,18.095422677869454
2023-02-28,21.135240279954065
2023-03-31,22.900092487432072
2023-04-30,26.3061259375264
2023-05-31,27.25671973445593
2023-06-30,26.731182531203785
2023-07-31,26.72055432932308
2023-08-31,26.378052614244265
2023-09-30,25.74226482948932
2023-10-31,24.500004649473418
2023-11-30,22.42859317074125
2023-12-31,20.313300857036843
2024-01-31,19.897475614115116
2024-02-29,22.03753927993634
2024-03-31,24.18946312526043
2024-04-30,28.537592395412794
2024-05-31,27.388814643051358
2024-06-30,26.944216341751385
2024-07-31,26.40420497276245
2024-08-31,26.67524339969372
2024-09-30,25.927753626161387
2024-10-31,23.952300466823917
2024-11-30,22.244147765661246
2024-12-31,19.00377826471203
2025-01-31,18.03149432209092
2025-02-28,20.12054115453324
2025-03-31,22.860927632155214
2025-04-30,25.51676901782252
2025-05-31,26.58928831083663
2025-06-30,26.443355064847943
2025-07-31,26.397294779801626
2025-08-31,25.97695275173406
2025-09-30,25.588640322205553
2025-10-31,23.9477875306216
2025-11-30,20.620628536173413
2025-12-31,20.020473183016996
